"Stage","Lead Source","ISI Sales Territory","Channel Partner","UC Platform(s)","Industry","Close Date","Close Month","Fiscal Period","Fiscal Year","Age","Amount"
"Closed Won","Website","","United Data Technologies, Inc.","Cisco","","9/10/2018","9/1/2018","Q3-2018","2018","26.0000000000","10014.00"
"Closed Lost","Affiliate/Partner Programs","","Mainline Information Systems, Inc.","Cisco","","10/29/2018","10/1/2018","Q4-2018","2018","74.0000000000","4445.30"
"Closed Lost","Website","Southeast","","Cisco","Real Estate","3/7/2019","3/1/2019","Q1-2019","2019","203.0000000000","20988.00"
"Closed Won","Website","Midwest","Sirius Computer Solutions, Inc. - a CDW Company","Cisco","Finance","6/25/2019","6/1/2019","Q2-2019","2019","308.0000000000","7101.00"
"Closed Won","Website","Midwest","","Cisco","Other","11/30/2018","11/1/2018","Q4-2018","2018","101.0000000000","7372.00"
"Closed Lost","Website","Gulf","CDW Logistics, Inc.","Cisco","Healthcare","8/27/2019","8/1/2019","Q3-2019","2019","368.0000000000","2744.00"
"Closed Lost","Website","","Presidio Networked Solutions Group, LLC","Cisco","","2/19/2019","2/1/2019","Q1-2019","2019","180.0000000000","13266.00"
"Closed Won","Traditional/Offline Networking","Northeast","","Cisco; Avaya","Finance","3/25/2022","3/1/2022","Q1-2022","2022","1311.0000000000","42000.00"
"Closed Won","Website","Southeast","ACT Data Solutions","Avaya","Finance","8/30/2019","8/1/2019","Q3-2019","2019","367.0000000000","62020.00"
"Closed Lost","Website","Midwest","ConvergeOne, Inc.","Cisco","Communications","5/13/2019","5/1/2019","Q2-2019","2019","257.0000000000","5994.00"
"Closed Lost","Website","Midwest","ConvergeOne, Inc.","","Education","3/14/2019","3/1/2019","Q1-2019","2019","198.0000000000","3227.00"
"Closed Lost","Website","Gulf","Chickasaw Telecom, Inc.","Cisco","Manufacturing","10/31/2019","10/1/2019","Q4-2019","2019","429.0000000000","1858.00"
